127.0.0.1 - - [25/Oct/2017:11:42:38 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [25/Oct/2017:11:42:38 +0900] "GET /beacon/ HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [25/Oct/2017:11:42:38 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [25/Oct/2017:11:42:54 +0900] "GET /beacon/test HTTP/1.1" 500 10339
0:0:0:0:0:0:0:1 - - [25/Oct/2017:11:43:18 +0900] "GET /beacon/test HTTP/1.1" 500 10339
0:0:0:0:0:0:0:1 - - [25/Oct/2017:11:43:27 +0900] "GET /beacon/test HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [25/Oct/2017:11:44:59 +0900] "GET /beacon/test HTTP/1.1" 500 10339
0:0:0:0:0:0:0:1 - - [25/Oct/2017:11:46:24 +0900] "GET /beacon/test HTTP/1.1" 500 10339
0:0:0:0:0:0:0:1 - - [25/Oct/2017:11:46:32 +0900] "GET /beacon/test HTTP/1.1" 500 11762
0:0:0:0:0:0:0:1 - - [25/Oct/2017:11:46:38 +0900] "GET /beacon/test HTTP/1.1" 500 11762
0:0:0:0:0:0:0:1 - - [25/Oct/2017:11:47:12 +0900] "GET /beacon/test HTTP/1.1" 500 11762
0:0:0:0:0:0:0:1 - - [25/Oct/2017:11:47:34 +0900] "GET /beacon/test HTTP/1.1" 500 12538
0:0:0:0:0:0:0:1 - - [25/Oct/2017:15:18:18 +0900] "GET /beacon/test HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [25/Oct/2017:15:32:24 +0900] "GET /beacon/ HTTP/1.1" 200 165
